userid,artid,artist,title,style,year,"Source (1 = classical, 2 = modern, 3 = nonhuman)","computerOrAnimal (0 = human, 1 = computer, 2 = animal)","Intent (0 = no, 1 = yes)",pref_ratings,user_age,user_gender,political_orientation,art_education,general_sophistication,am_i_an_artist
1,1,Durer,Self-Portrait,Northern Renaissance,1500,1,0,1,7,19,2,3,0,2,2
1,2,de Vinci,Mona Lisa,Renaissance,1503,1,0,1,6,19,2,3,0,2,2
1,3,Michelangelo,The Creation of Adam,Italian Renaissance,1512,1,0,1,2,19,2,3,0,2,2
1,4,Bruegel,Tower of Babel,Dutch and Flemish Renaissance,1563,1,0,1,6,19,2,3,0,2,2
1,5,Hals,Laughing Cavalier,Baroque,1624,1,0,1,3,19,2,3,0,2,2
1,6,Rembrandt,Belshazzar's Feast,Baroque,1635,1,0,1,3,19,2,3,0,2,2
1,7,Vermeer,Girl with the Pearl Earring,Dutch Golden Age,1665,1,0,1,5,19,2,3,0,2,2
1,8,Ricci,Venus and Cupid,Late Baroque,1700,1,0,1,4,19,2,3,0,2,2
1,9,Chardin,Saying Grace,Realism,1740,1,0,1,6,19,2,3,0,2,2
1,10,Hogarth,Marriage A-la-Mode,Rococo,1744,1,0,1,6,19,2,3,0,2,2
1,11,Gainsborough,Mr. and Mrs. Andrews,Rococo,1750,1,0,1,5,19,2,3,0,2,2
1,12,Greuze,The Village Bride,Rococo,1761,1,0,1,5,19,2,3,0,2,2
1,13,Fragonard,The Swing,Rococo,1767,1,0,1,2,19,2,3,0,2,2
1,14,David,Oath of Horatii,Neoclassical,1784,1,0,1,5,19,2,3,0,2,2
1,15,Lebrun,Self-Portrait with Her Daughter,Rococo / Neoclassicism,1789,1,0,1,6,19,2,3,0,2,2
1,16,David,The Death of Marat,Neoclassical,1793,1,0,1,2,19,2,3,0,2,2
1,17,Girodet,Jean-Baptiste Belley,Romanticism / Neoclassicism,1797,1,0,1,7,19,2,3,0,2,2
1,18,Goya,The Sleep of Reason Produces Monsters,Romanticism,1798,1,0,1,5,19,2,3,0,2,2
1,19,David,Rape of the Sabine Women,Neoclassical,1799,1,0,1,7,19,2,3,0,2,2
1,20,David,Napoleon Crossing the Alps,Neoclassical,1800,1,0,1,7,19,2,3,0,2,2
